_input,_num,_widgetName,_source,_resultNumber,_pageUrl,location,total_results,first_result_title,second_result_title,third_result_title,fourth_result_title,fifth_result_title,sixth_result_title
location:Chicago IL|,4,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-chicago-il/?trk=jserp_search_button_execute,Chicago IL,1079,Data Scientist,Sr Data Scientist,Data Scientist GE Capital Americas Analytics COE,VP of Data Science,Data Scientist,Big Data Engineer
location:Seattle WA|,21,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-seattle-wa/?trk=jserp_search_button_execute,Seattle WA,1269,DATA SCIENTIST II-Operating Systems Group,SR DATA SCIENTIST,DATA SCIENTIST II,SR DATA SCIENTIST,DATA SCIENTIST eSCIENCE INSTITUTE,Data Scientist
location:Boston MA|,27,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-boston-ma/?trk=jserp_search_button_execute,Boston MA,1780,Data Scientist (Big Data Analytics) - Travel Intelligence Organization,Senior Data Scientist (Big Data),Senior Data Scientist (Big Data),Vice President Architecture for Data and Business Intelligence,Data Scientist - Machine Learning,Big Data Lead Engineer/Senior Software Engineer
location:Oklahoma City OK|,17,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-oklahoma-city-ok/?trk=jserp_search_button_execute,Oklahoma City OK,113,Data Governance Coordinator - Engineering,Data Management Supervisor - Asset Management,Data Governance Coordinator - Asset Management,Data Management Professional - EHS,Mgr IT Systems & Data Center Full Time Days IT Systems Support ...,Data Management Professional: Tech Innovation & Intelligence
location:Sacramento CA|,1,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-sacramento-ca/?trk=jserp_search_button_execute,Sacramento CA,121,Director of Software Development and Data Architecture,SSD Solution Architect,MQM - Senior Big Data Engineer,MQM Senior Big Data Engineer,Aster Presales Solution Architect,Associate Operations Engineer
location:Madison WI|,2,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-madison-wi/?trk=jserp_search_button_execute,Madison WI,125,Antenna Systems Researcher,Data Warehouse Architect,Electrical Engineer - II,Electrical Engineer - II,Predictive Intelligence Analyst,IT Database Administrator/Web Programmer
location:Kansas City MO|,6,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-kansas-city-mo/?trk=jserp_search_button_execute,Kansas City MO,132,IT Data Analyst - (5023),Sr. Clinical Data Manager (CDM),Data Architect,Data Architect,Digital Marketing Analyst/Ecommerce Web Analyst - St. Louis,ETL/Integration Programmer
location:Orlando FL|,11,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-orlando-fl/?trk=jserp_search_button_execute,Orlando FL,132,Decision Science Project/Technical Manager,Decision Science Consultant,IT Data Analyst - (5023),Manager Decision Science,School Reporting Coordinator,Sr. Programmer Analyst - ETL
location:Miami FL|,32,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-miami-fl/?trk=jserp_search_button_execute,Miami FL,146,Big Data/Hadoop Engineer,Senior Software Engineer,Big Data/Hadoop Engineer,Enterprise Data Architect IT Managed Care Decision Support,BIG DATA PERFORMANCE ENGINEER,Business Intelligence Consultant 2 IT Managed Care/Decision Supp
location:Tampa FL|,10,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-tampa-fl/?trk=jserp_search_button_execute,Tampa FL,153,Director Data Science - (DR12705),IT Data Analyst - (5023),DATA MODELING SPECIALIST,DATA MODELING SPECIALIST,DATA MODELING LEAD,Data Architect
location:Milwaukee WI|,24,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-milwaukee-wi/?trk=jserp_search_button_execute,Milwaukee WI,158,Data Scientist,Data Scientist,Software Architect - Big Data,Data Architect,Big Data Software Sales Representative - Midwest,Computer Science Intern
location:Omaha NE|,35,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-omaha-ne/?trk=jserp_search_button_execute,Omaha NE,169,Senior Software Developer,Data Software Engineer,Actuary Student Program (Pre-ASA)- Multiple Positions Available,Business Intelligence Developer/Senior Business Intelligence ...,Data Conversion Specialist,Subject Matter Expert (SME) - Social Science/Emerging Threat
location:Hartford CT|,26,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-hartford-ct/?trk=jserp_search_button_execute,Hartford CT,173,Presales Solution Architect - Healthcare - Northeast,Information Delivery  Big Data Analyst,Data Engineer,Enterprise Data Architect,Consultant Data Management - with Metadata Report Development,Sr. Informatics Manager
location:Salt Lake City UT|,34,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-salt-lake-city-ut/?trk=jserp_search_button_execute,Salt Lake City UT,179,Data Scientist,Data Systems Analyst (Data Architect/Database Administrator)*Open ...,Aster Presales Solution Architect,Group Product Manager Adobe Analytics,Programmer/Analyst,Sr. Data Engineer
location:Cleveland OH|,23,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-cleveland-oh/?trk=jserp_search_button_execute,Cleveland OH,184,EIM Principal Architect / Data Sciences,Data Scientist/Programmer - Exciting Industry Leader! Relo!,Lead Engineer,Enterprise Data Specialist,IT System Test Engineer - Big Data,Lead SAP BI Developer
location:Charlotte NC|,33,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-charlotte-nc/?trk=jserp_search_button_execute,Charlotte NC,193,Data Architect,Data Scientist,Enterprise Architect - Data,IT Data Analyst - (5023),Data Quality Analyst,Senior Database Engineer
location:Washington DC|,25,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-washington-dc/?trk=jserp_search_button_execute,Washington DC,2463,7966: Integrative Data Scientist - Center for the Science of ...,Data Scientist,Big Data Scientist,Sr. Director Data Strategy and Governance,Director Data Architecture,Data Scientist
location:New York NY|,28,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-new-york-ny/?trk=jserp_search_button_execute,New York City NY,2665,Big Data Scientist,Sr. Data Scientist,Corporate & Investment Bank – R&D – Data Science and Analytics –...,Data Modeler For Data Science Team - Digital Marketing - NYC,Data Scientist,Data Scientist
