,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Acton,+MA",,Acton,MA,167,5,26,19,3,17,8,3,3,1,3,5,0,4,13,3,17,6,5,7,1,4,6,2,3,3,0,0
"Addison,+IL",,Addison,IL,243,9,46,27,0,14,10,12,6,4,7,11,0,16,22,10,13,1,7,6,3,9,2,1,1,2,4,0
"Addison,+TX",,Addison,TX,140,8,28,5,0,7,13,4,5,2,0,5,0,8,17,1,6,5,6,5,0,6,5,1,3,0,0,0
"Adrian,+MI",,Adrian,MI,9,2,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Agoura+Hills,+CA",,Agoura Hills,CA,90,0,8,14,1,6,5,4,1,1,2,3,0,3,5,1,6,2,5,3,6,11,0,1,0,1,1,0
"Aiea,+HI",,Aiea,HI,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
"Akron,+OH",,Akron,OH,32,3,4,3,0,3,3,0,0,1,0,4,0,2,2,3,0,0,0,1,0,2,0,1,0,0,0,0
"Alameda,+CA",,Alameda,CA,201,2,28,31,0,7,12,11,4,3,6,9,0,5,21,2,25,0,10,5,2,6,5,1,2,0,4,0
"Albany,+NY",,Albany,NY,16,0,3,1,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,2,1,0,0,0,0,0
"San+Francisco,+CA",1,San Francisco,CA,165,2,19,30,0,6,9,11,4,1,5,8,0,4,16,2,20,0,9,3,2,6,4,1,1,0,2,0
"Alcoa,+TN",,Alcoa,TN,14,1,1,2,1,1,1,0,0,1,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Aledo,+TX",,Aledo,TX,13,0,1,1,1,2,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Alexandria,+VA",,Alexandria,VA,336,9,82,17,99,10,10,1,8,5,4,8,0,1,27,6,19,4,2,7,2,4,6,0,2,2,1,0
"Algona,+WA",,Algona,WA,106,0,14,12,0,9,5,1,4,0,0,1,0,5,23,3,9,0,5,2,0,6,3,1,0,3,0,0
"Aliso+Viejo,+CA",,Aliso Viejo,CA,112,3,10,13,1,6,12,2,5,2,0,7,0,3,12,2,6,0,3,6,2,10,2,2,0,0,3,0
"Allen,+TX",,Allen,TX,134,6,27,4,0,6,13,4,5,2,0,4,0,8,17,1,6,5,6,5,0,6,5,1,3,0,0,0
"Allentown,+PA",,Allentown,PA,16,0,4,1,1,3,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"Allison+Park,+PA",,Allison Park,PA,26,2,5,4,0,2,2,0,1,0,1,0,0,0,1,3,1,0,0,1,0,1,0,0,0,2,0,0
"Allston,+MA",,Allston,MA,168,5,28,19,3,17,9,4,3,1,3,5,0,4,14,3,16,6,5,6,1,4,5,2,1,4,0,0
"Alpharetta,+GA",,Alpharetta,GA,186,7,40,11,2,14,13,5,5,4,0,16,0,7,17,6,13,0,5,8,2,4,1,2,1,0,3,0
"Altamonte+Springs,+FL",,Altamonte Springs,FL,32,3,2,4,1,3,1,0,0,1,0,1,0,0,3,0,6,1,3,1,0,0,0,0,0,2,0,0
"Altoona,+PA",,Altoona,PA,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ambler,+PA",,Ambler,PA,127,4,18,7,0,16,10,1,1,0,4,10,0,8,16,3,8,3,2,1,1,4,3,4,3,0,0,0
"Amelia,+LA",,Amelia,LA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American+Fork,+UT",,American Fork,UT,82,6,1,6,1,5,6,6,0,5,2,3,0,3,5,4,11,0,8,2,0,5,0,2,0,0,1,0
"Ames,+IA",,Ames,IA,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Amherst,+NY",,Amherst,NY,12,1,2,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Amherst,+WI",,Amherst,WI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anacortes,+WA",,Anacortes,WA,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaheim,+CA",,Anaheim,CA,208,4,17,30,2,10,15,3,7,3,0,7,0,3,26,7,15,3,12,10,4,15,3,3,1,2,6,0
"Anaheim+Hills,+CA",,Anaheim Hills,CA,141,4,13,16,1,8,12,2,6,2,0,7,0,4,16,6,6,0,9,7,3,11,2,2,0,0,4,0
"Anderson,+IN",,Anderson,IN,7,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
"Andover,+MA",,Andover,MA,155,5,28,18,2,15,6,4,3,1,2,6,0,4,14,2,16,5,4,6,1,4,4,1,2,2,0,0
"Ankeny,+IA",,Ankeny,IA,8,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
"Ann+Arbor,+MI",,Ann Arbor,MI,50,1,12,4,1,3,4,3,1,0,1,2,0,2,3,2,3,0,0,1,1,3,0,0,1,2,0,0
"Annapolis,+MD",,Annapolis,MD,118,6,26,6,28,4,2,0,2,3,2,3,0,2,17,1,3,1,1,1,1,3,4,0,0,2,0,0
"Annapolis+Junction,+MD",,Annapolis Junction,MD,263,7,55,13,77,11,11,1,7,4,3,6,0,2,25,4,13,3,3,3,1,5,5,1,0,3,0,0
"Antioch,+TN",,Antioch,TN,43,4,5,3,1,4,4,1,1,0,1,5,0,1,7,0,4,0,0,0,1,0,0,1,0,0,0,0
"Apex,+NC",,Apex,NC,46,2,3,6,0,7,2,1,0,2,2,5,0,2,1,0,5,0,2,0,0,1,1,0,2,2,0,0
"Apopka,+FL",,Apopka,FL,34,3,2,4,1,3,1,0,0,1,0,1,0,0,3,0,6,1,3,2,1,0,0,0,0,2,0,0
"Apple+Valley,+MN",,Apple Valley,MN,74,3,17,8,0,7,4,1,1,1,0,3,0,0,8,1,6,0,5,2,0,2,4,0,0,1,0,0
"Appleton,+WI",,Appleton,WI,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Ardmore,+PA",,Ardmore,PA,127,4,20,7,0,17,10,1,1,0,5,11,0,6,14,3,7,3,2,1,1,5,2,4,3,0,0,0
"Arlington,+VA",,Arlington,VA,342,9,84,17,102,10,10,1,8,5,4,8,0,1,27,6,19,5,2,7,2,4,6,0,2,2,1,0
"Arlington,+MA",,Arlington,MA,172,5,28,19,3,18,9,4,3,1,3,5,0,4,14,3,17,6,5,7,1,4,5,2,2,4,0,0
"Arlington,+TX",,Arlington,TX,108,7,18,3,1,5,10,5,0,1,0,4,0,8,15,0,6,4,6,2,0,6,5,0,2,0,0,0
"Arlington+Heights,+IL",,Arlington Heights,IL,244,9,46,26,0,15,10,12,6,4,7,11,0,16,22,10,13,1,7,6,3,9,2,1,1,2,5,0
"Arvada,+CO",,Arvada,CO,116,5,13,12,0,7,2,10,1,1,1,6,0,1,16,0,16,3,2,3,0,8,1,1,1,3,3,0
"Ashburn,+VA",,Ashburn,VA,309,7,76,16,92,10,9,1,8,4,2,7,0,1,25,6,19,5,2,6,2,3,4,0,2,1,1,0
"Asheville,+NC",,Asheville,NC,7,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"asheville,+NC",,asheville,NC,7,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ashland,+NE",,Ashland,NE,24,0,4,0,0,5,1,0,0,1,0,0,0,1,3,1,3,2,1,0,0,2,0,0,0,0,0,0
"Astoria,+NY",,Astoria,NY,310,5,49,60,1,18,14,8,3,3,13,12,0,6,29,5,17,7,14,10,14,14,2,1,1,3,1,0
"Athens,+GA",,Athens,GA,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athens,+AL",,Athens,AL,21,0,2,1,13,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"Athens,+OH",,Athens,OH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Washington,+DC",1,Washington,DC,348,9,85,17,102,10,11,1,8,5,4,9,0,1,30,6,19,4,2,7,2,5,6,0,2,2,1,0
"Atlatna,+GA",,Atlatna,GA,181,5,40,11,2,14,13,5,4,4,0,16,0,8,16,7,13,0,5,7,2,4,1,2,0,0,2,0
"Auburn,+WA",,Auburn,WA,106,0,14,12,0,9,5,1,4,0,0,1,0,5,23,3,9,0,5,2,0,6,3,1,0,3,0,0
"Auburn,+MA",,Auburn,MA,25,0,2,3,1,3,2,0,0,0,1,1,0,1,2,1,0,1,1,0,0,1,3,0,1,1,0,0
"Auburn,+ME",,Auburn,ME,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Auburn+Hills,+MI",,Auburn Hills,MI,80,3,18,7,1,4,7,3,1,0,2,7,0,2,8,0,3,0,1,3,1,3,1,0,2,3,0,0
"Audubon,+PA",,Audubon,PA,116,3,19,6,1,16,8,1,1,0,5,9,0,6,14,3,5,1,2,1,1,5,2,4,3,0,0,0
"Augusta,+GA",,Augusta,GA,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurora,+CO",,Aurora,CO,96,5,13,11,0,6,2,6,1,1,1,6,0,1,14,0,10,3,1,3,0,7,0,0,0,2,3,0
"Aurora,+IL",,Aurora,IL,118,8,21,7,0,5,6,8,1,0,3,8,0,12,9,7,3,1,3,3,2,3,2,1,1,2,2,0
"Austell,+GA",,Austell,GA,160,4,33,10,1,13,13,5,4,4,0,14,0,6,14,7,11,0,5,6,2,4,1,1,0,0,2,0
"New+York+City,+NY",1,New York City,NY,316,5,55,56,1,19,14,7,3,3,13,14,0,6,30,4,18,7,14,10,13,13,3,2,2,3,1,0
"Aventura,+FL",,Aventura,FL,97,2,13,11,0,9,5,2,2,1,3,6,0,1,9,4,4,5,6,2,1,6,2,2,0,1,0,0
"Avon,+OH",,Avon,OH,47,1,5,3,1,5,4,0,2,0,0,3,0,5,10,1,1,0,1,1,2,0,0,1,0,1,0,0
"Bakersfield,+CA",,Bakersfield,CA,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"Baldwin+Park,+CA",,Baldwin Park,CA,210,3,20,32,2,8,15,5,7,4,0,4,0,4,26,7,12,4,13,8,8,16,2,3,1,1,5,0
"Ballston+Lake,+NY",,Ballston Lake,NY,16,0,3,1,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,2,1,0,0,0,0,0
"Baltimore,+MD",,Baltimore,MD,79,6,17,5,17,2,3,0,0,2,2,3,0,2,9,1,1,0,1,1,1,2,1,1,0,2,0,0
"Bar+Mills,+ME",,Bar Mills,ME,10,0,3,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
"Barnstable,+MA",,Barnstable,MA,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
