_input,_num,_widgetName,_source,_resultNumber,_pageUrl,location,total_results,first_result_title,second_result_title,third_result_title,fourth_result_title,fifth_result_title,sixth_result_title
location:San Diego CA|,1,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-san-diego-ca/?trk=jserp_search_button_execute,San Diego CA,606,Director Data Science,Big Data & Performance Solution Architect (Hadoop required),Senior Java/Hadoop Developer,Sr. Hadoop/J2EE Engineer,Sr. Product Manager - TurboTax Data & Technology,Director Analytic Science
location:Las Vegas NV|,2,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-las-vegas-nv/?trk=jserp_search_button_execute,Las Vegas NV,62,Software Engineer (Analytics),Decision Support Application Developer [14396],Application Development Engineer,MRI Image Analyst/Research Engineer,Mid-Level Software Engineer (Java),Internet Marketing Manager
location:San Jose CA|,3,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-san-jose-ca/?trk=jserp_search_button_execute,San Jose CA,3355,iPhone Quality Data Scientist,iPhone Quality Data Scientist,Data Scientist,Senior Data Scientist - Streaming Science & Algorithms,Director of Engineering – Big Data,Big Data - Data Scientist
location:Detroit MI|,4,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-detroit-mi/?trk=jserp_search_button_execute,Detroit MI,361,Cross Channel Analytics Delivery,ETL Data Stage Developer,PLM Data Modeler,Principal Performance Measurement Analyst- Revenue Cycle ...,Data Architect,Senior Data Visualization Designer
location:Columbus OH|,5,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-columbus-oh/?trk=jserp_search_button_execute,Columbus OH,233,Digital Analytics Data Analyst Lead Chase Digital,Big Data Specialist - AWS Professional Services (Ohio),Green plum Consultant,Digital Analytics Data Analyst Lead,Data Warehousing Analyst / Systems Analyst,BI/ETL/Data Warehousing Developers
location:Cleveland OH|,6,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-cleveland-oh/?trk=jserp_search_button_execute,Cleveland OH,178,EIM Principal Architect / Data Sciences,Senior Data Architect,Data Scientist/Programmer - Exciting Industry Leader! Relo!,Senior Data Acquisitions Software Engineer,Lead Engineer,Enterprise Data Specialist
location:Austin TX|,7,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-austin-tx/?trk=jserp_search_button_execute,Austin TX,541,Big Data Expert,Software Engineer Cloudera Navigator,Python Developer,Software Engineer Cloudera Navigator,Data Scientist,Data Scientist
location:Omaha NE|,8,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-omaha-ne/?trk=jserp_search_button_execute,Omaha NE,165,Senior Software Developer,Data Software Engineer,Actuary Student Program (Pre-ASA)- Multiple Positions Available,Business Intelligence Developer/Senior Business Intelligence ...,Data Conversion Specialist,Subject Matter Expert (SME) - Social Science/Emerging Threat
location:Philadelphia PA|,9,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-philadelphia-pa/?trk=jserp_search_button_execute,Philadelphia PA,709,Data Scientist - Python Big Data (MapReduce Hadoop),Data Scientist - Director / VP - *RELO OFFERED*,Data Scientist,Presales Solution Architect - Healthcare - Northeast,Data Warehouse Architect (SQL Server),DATA WAREHOUSE ARCHITECT
location:Indianapolis IN|,10,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-indianapolis-in/?trk=jserp_search_button_execute,Indianapolis IN,278,Data Scientist,Group Product Manager,Lead Data Engineer,Senior Data Engineer,Data Platform Enterprise Architect,Analytic Science - Scientist II
location:San Antonio TX|,11,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-san-antonio-tx/?trk=jserp_search_button_execute,San Antonio TX,250,Cath Lab Technician Certified - Cardiac Cath (PRN) - Methodist ...,Cath Lab Technician Certified - Cardiac Cath (PRN) - Methodist ...,Cath Lab Tech Certified - Cath Lab (Days) - Methodist Texsan Hospital,Cath Lab Tech Certified - Cath Lab (Days) - Methodist Texsan Hospital,Software Implementation Engineer,RESEARCH SCIENTIST - SR. RESEARCH SCIENTIST - OUTER SOLAR SYSTEM - ...
location:Madison WI|,12,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-madison-wi/?trk=jserp_search_button_execute,Madison WI,127,Data Scientist,Antenna Systems Researcher,Data Warehouse Architect,Electrical Engineer - II,Electrical Engineer - II,Predictive Intelligence Analyst
location:Salt Lake City UT|,13,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-salt-lake-city-ut/?trk=jserp_search_button_execute,Salt Lake City UT,187,Data Scientist,Data Systems Analyst (Data Architect/Database Administrator)*Open ...,Aster Presales Solution Architect,Group Product Manager Adobe Analytics,Programmer/Analyst,Sr. Data Engineer
location:Milwaukee WI|,14,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-milwaukee-wi/?trk=jserp_search_button_execute,Milwaukee WI,150,Data Scientist,Data Scientist,Software Architect - Big Data,Data Architect,Big Data Software Sales Representative - Midwest,Computer Science Intern
location:Oklahoma City OK|,15,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-oklahoma-city-ok/?trk=jserp_search_button_execute,Oklahoma City OK,117,Data Governance Coordinator - Engineering,Data Management Supervisor - Asset Management,Data Governance Coordinator - Asset Management,Data Management Professional - EHS,Mgr IT Systems & Data Center Full Time Days IT Systems Support ...,Data Management Professional: Tech Innovation & Intelligence
location:Orlando FL|,16,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-orlando-fl/?trk=jserp_search_button_execute,Orlando FL,141,Decision Science Project/Technical Manager,Decision Science Project/Technical Manager,Decision Science Consultant,IT Data Analyst - (5023),Manager Decision Science,School Reporting Coordinator
