city,state,results,population,jobs_per_100000,count_relevant_sample_jobs
San Diego,California,606,1355896,44.69369332,1
Las Vegas,Nevada,62,603488,10.27360942,0
San Jose,California,3355,998537,335.9915556,5
Detroit,Michigan,361,688701,52.41752226,0
Columbus,Ohio,233,822553,28.32644219,0
Cleveland,Ohio,178,390113,45.62780528,2
Austin,Texas,541,885400,61.10232663,2
Omaha,Nebraska,165,434353,37.98753548,0
Philadelphia,Pennsylvania,709,1553165,45.64872374,3
Indianapolis,Indiana,278,843393,32.96209478,1
San Antonio,Texas,250,1409019,17.74284094,0
Madison,Wisconsin,127,243344,52.18949306,1
Salt Lake City,Utah,187,191180,97.81357883,1
Milwaukee,Wisconsin,150,599164,25.03488194,2
Oklahoma City,Oklahoma,117,610613,19.16107256,0
Orlando,Florida,141,255483,55.18958209,0
Los Angeles,California,976,3884307,25.12674719,5
New York,New York,2669,8405837,31.75174584,6
Atlanta,Georgia,785,447841,175.285425,5
Tampa,Florida,147,352957,41.64813278,1
Grand Rapids,Michigan,44,192294,22.88162917,0
Chicago,Illinois,1118,2718782,41.12135508,5
Hartford,Connecticut,183,125017,146.3800923,1
Portland,Oregon,320,609456,52.50584127,0
Charlotte,North Carolina,202,792862,25.4773214,2
Minneapolis,Minnesota,371,400070,92.73377159,0
Pittsburgh,Pennsylvania,248,305841,81.08788554,1
Raleigh,North Carolina,522,431746,120.9044207,0
Seattle,Washington,1361,652405,208.6127482,6
San Francisco,California,2747,837442,328.0227168,6
Boston,Massachusetts,1873,645966,289.9533412,4
Miami,Florida,144,417650,34.47863043,0
Sacramento,California,116,479686,24.18248604,0
Washington,District of Columbia,,,,
