city,state,results,population,jobs_per_100000,count_relevant_sample_jobs
San Diego,California,606,1355896,44.69369332161169,1
Las Vegas,Nevada,62,603488,10.273609417254361,0
San Jose,California,3355,998537,335.99155564590995,5
Detroit,Michigan,361,688701,52.41752226292687,0
Columbus,Ohio,233,822553,28.326442186704078,0
Cleveland,Ohio,178,390113,45.627805276932584,2
Austin,Texas,541,885400,61.10232663203072,2
Omaha,Nebraska,165,434353,37.987535483811556,0
Philadelphia,Pennsylvania,709,1553165,45.648723735082875,3
Indianapolis,Indiana,278,843393,32.96209477669366,1
San Antonio,Texas,250,1409019,17.74284094110867,0
Madison,Wisconsin,127,243344,52.18949306331777,1
Salt Lake City,Utah,187,191180,97.81357882623705,1
Milwaukee,Wisconsin,150,599164,25.034881935496795,2
Oklahoma City,Oklahoma,117,610613,19.16107256150786,0
Orlando,Florida,141,255483,55.1895820856965,0
Los Angeles,California,976,3884307,25.12674719068292,5
New York,New York,2669,8405837,31.751745840420178,6
Atlanta,Georgia,785,447841,175.2854249610911,5
Tampa,Florida,147,352957,41.648132775380574,1
Grand Rapids,Michigan,44,192294,22.881629171997044,0
Chicago,Illinois,1118,2718782,41.12135507738392,5
Hartford,Connecticut,183,125017,146.38009230744618,1
Portland,Oregon,320,609456,52.50584127484183,0
Charlotte,North Carolina,202,792862,25.477321400193226,2
Minneapolis,Minnesota,371,400070,92.73377158997175,0
Pittsburgh,Pennsylvania,248,305841,81.08788553529449,1
Raleigh,North Carolina,522,431746,120.90442065473682,0
Seattle,Washington,1361,652405,208.6127482162154,6
San Francisco,California,2747,837442,328.02271679710356,6
Boston,Massachusetts,1873,645966,289.9533411975243,4
Miami,Florida,144,417650,34.478630432180054,0
Sacramento,California,116,479686,24.182486042953098,0
